# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles:P'
# Event count (approx.): 5292990555002
#
# Children      Self  Command          Shared Object            Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ........  ...............  .......................  .............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     3.22%     0.00%  eval_performanc  eval_performance         [.] main
     3.22%     0.00%  eval_performanc  libc.so.6                [.] 0x000071a41022a1ca
     3.19%     0.00%  eval_performanc  eval_performance         [.] vsag::eval::SearchEvalCase::Run[abi:cxx11]()
     3.18%     0.00%  eval_performanc  eval_performance         [.] vsag::eval::SearchEvalCase::RunInMemory[abi:cxx11]()
     3.13%     3.07%  eval_performanc  libvsag.so.0.0.0         [.] vsag::StandardHeap<true, false>::Push(float, unsigned int)
     3.12%     0.00%  eval_performanc  libgomp.so.1.0.0         [.] GOMP_parallel
     3.12%     0.00%  eval_performanc  eval_performance         [.] vsag::eval::SearchEvalCase::do_knn_search()
     3.02%     0.01%  eval_performanc  [kernel.kallsyms]        [k] entry_SYSCALL_64_after_hwframe
     3.00%     0.03%  eval_performanc  [kernel.kallsyms]        [k] do_syscall_64
     2.98%     2.98%  eval_performanc  libc.so.6                [.] pthread_rwlock_unlock
     2.87%     0.02%  eval_performanc  [kernel.kallsyms]        [k] x64_sys_call
     2.59%     2.58%  eval_performanc  libvsag.so.0.0.0         [.] vsag::MemoryBlockIO::DirectReadImpl(unsigned long, unsigned long, bool&) const
     2.34%     0.01%  eval_performanc  libvsag.so.0.0.0         [.] vsag::MakeMCIStatistics(vsag::SearchStatistics const&, vsag::MCIHybridSearchFields const&)
     2.18%     2.17%  eval_performanc  libvsag.so.0.0.0         [.] vsag::StandardHeap<true, false>::Pop()
     2.05%     0.01%  eval_performanc  eval_performance         [.] vsag::eval::MemoryPeakMonitor::Record(void*)
     2.04%     0.01%  eval_performanc  libvsag.so.0.0.0         [.] vsag::JsonWrapper::Dump[abi:cxx11](int) const
     1.97%     0.07%  eval_performanc  libvsag.so.0.0.0         [.] vsag::SearchStatistics::ToJson() const
     1.97%     0.09%  eval_performanc  libvsag.so.0.0.0         [.] vsag::JsonWrapper::operator[](std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) const
     1.94%     1.14%  eval_performanc  libc.so.6                [.] malloc
     1.93%     0.44%  eval_performanc  libc.so.6                [.] cfree
     1.91%     0.03%  eval_performanc  [kernel.kallsyms]        [k] __x64_sys_futex
     1.90%     0.22%  eval_performanc  eval_performance         [.] nlohmann::json_abi_v3_11_3::basic_json<std::map, std::vector, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, long, unsigned long, double, std::allocator, nlohmann::json_abi_v3_11_3::adl_serializer, std::vector<unsigned char, std::allocator<unsigned char> >, void>::dump(int, char, bool, nlohmann::json_abi_v3_11_3::detail::error_handler_t) const
     1.90%     0.35%  eval_performanc  libvsag.so.0.0.0         [.] vsag::SQ8UniformQuantizer<(vsag::MetricType)0>::ComputeDistImpl(vsag::Computer<vsag::SQ8UniformQuantizer<(vsag::MetricType)0> >&, unsigned char const*, float*) const
     1.89%     0.02%  eval_performanc  [kernel.kallsyms]        [k] do_futex
     1.86%     0.07%  eval_performanc  eval_performance         [.] vsag::eval::RecallMonitor::Record(void*)
     1.81%     0.13%  eval_performanc  libvsag.so.0.0.0         [.] operator new(unsigned long)
     1.68%     0.53%  eval_performanc  eval_performance         [.] nlohmann::json_abi_v3_11_3::basic_json<std::map, std::vector, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, long, unsigned long, double, std::allocator, nlohmann::json_abi_v3_11_3::adl_serializer, std::vector<unsigned char, std::allocator<unsigned char> >, void>::json_value::destroy(nlohmann::json_abi_v3_11_3::detail::value_t)
     1.49%     0.35%  eval_performanc  eval_performance         [.] nlohmann::json_abi_v3_11_3::detail::lexer<nlohmann::json_abi_v3_11_3::basic_json<std::map, std::vector, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, long, unsigned long, double, std::allocator, nlohmann::json_abi_v3_11_3::adl_serializer, std::vector<unsigned char, std::allocator<unsigned char> >, void>, nlohmann::json_abi_v3_11_3::detail::iterator_input_adapter<__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::scan_string()
     1.37%     0.00%  eval_performanc  libc.so.6                [.] 0x000071a410298f70
     1.31%     0.09%  eval_performanc  eval_performance         [.] nlohmann::json_abi_v3_11_3::detail::serializer<nlohmann::json_abi_v3_11_3::basic_json<std::map, std::vector, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, long, unsigned long, double, std::allocator, nlohmann::json_abi_v3_11_3::adl_serializer, std::vector<unsigned char, std::allocator<unsigned char> >, void> >::dump(nlohmann::json_abi_v3_11_3::basic_json<std::map, std::vector, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, long, unsigned long, double, std::allocator, nlohmann::json_abi_v3_11_3::adl_serializer, std::vector<unsigned char, std::allocator<unsigned char> >, void> const&, bool, bool, unsigned int, unsigned int)
     1.20%     0.02%  eval_performanc  [kernel.kallsyms]        [k] futex_wait
     1.18%     0.04%  eval_performanc  [kernel.kallsyms]        [k] __futex_wait
     1.17%     0.01%  eval_performanc  libvsag.so.0.0.0         [.] vsag::JsonWrapper::~JsonWrapper()
     1.16%     1.16%  eval_performanc  libvsag.so.0.0.0         [.] vsag::SQ8UniformQuantizer<(vsag::MetricType)0>::ComputeImpl(unsigned char const*, unsigned char const*) const@plt
     1.14%     0.00%  eval_performanc  libc.so.6                [.] 0x000071a4102ab30d
     1.14%     1.14%  eval_performanc  libc.so.6                [.] 0x00000000000ab30d
     1.10%     0.03%  eval_performanc  eval_performance         [.] std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, nlohmann::json_abi_v3_11_3::basic_json<std::map, std::vector, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, long, unsigned long, double, std::allocator, nlohmann::json_abi_v3_11_3::adl_serializer, std::vector<unsigned char, std::allocator<unsigned char> >, void> >, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, nlohmann::json_abi_v3_11_3::basic_json<std::map, std::vector, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, long, unsigned long, double, std::allocator, nlohmann::json_abi_v3_11_3::adl_serializer, std::vector<unsigned char, std::allocator<unsigned char> >, void> > >, std::less<void>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, nlohmann::json_abi_v3_11_3::basic_json<std::map, std::vector, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, long, unsigned long, double, std::allocator, nlohmann::json_abi_v3_11_3::adl_serializer, std::vector<unsigned char, std::allocator<unsigned char> >, void> > > >::_M_erase(std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, nlohmann::json_abi_v3_11_3::basic_json<std::map, std::vector, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, long, unsigned long, double, std::allocator, nlohmann::json_abi_v3_11_3::adl_serializer, std::vector<unsigned char, std::allocator<unsigned char> >, void> > >*) [clone .isra.0]
